subject_id,seed,rho_hat_T,ci_lower,ci_upper,r_fc,pass,split_half_r,mean_abs_fc,snr,mean_ar1,n_low_var_rois,temporal_var,signal_var,noise_var
63,1063,0.9999,0.942634832296588,0.9999,0.8082366589929387,True,0.43699133174911725,0.12724480467359103,3.3897460463305844,0.3878996457173964,0,1.0429920046472474,0.8287060646518892,0.24447438047725353
64,1064,0.9999,0.9711741635543495,0.9999,0.8038384799463681,True,0.45709538122752047,0.1443900370887421,4.12722512703841,0.4500440110252562,0,1.2286229526217676,1.0238378811843418,0.24806930799023832
65,1065,0.9999,0.9232335988755649,0.9999,0.7727824213048122,True,0.2978123700306756,0.1460966179030728,3.618072871227636,0.4614601132976281,0,1.1003154120938712,0.9003480404004577,0.2488474036994627
66,1066,0.9999,0.9886576676738966,0.9999,0.8125761712285912,True,0.44768630447476315,0.14803782848710115,3.990733622048934,0.45566545202297826,0,1.2225721802975755,1.0063728903640212,0.25217741540146354
67,1067,0.9999,0.9833667426492109,0.9999,0.8054409643846774,True,0.42217847882561493,0.14118651235015603,3.7831616906074266,0.44365063638050795,0,1.1586315419822166,0.9634171716029506,0.2546592639682455
68,1068,0.9999,0.9999,0.9999,0.8204905576602524,True,0.5149639452984895,0.14289170407408203,4.091755724862723,0.45892720734768105,0,1.1316840580077037,0.9692508694462424,0.23687896703040856
69,1069,0.9999,0.9999,0.9999,0.8272095504154897,True,0.5380148465886274,0.1510073452336553,3.833931094813212,0.4268317720566981,0,1.1304673356829653,0.9427603946481589,0.24589914928924664
70,1070,0.9999,0.9999,0.9999,0.8222639094993447,True,0.5253884496583571,0.1396830259101193,4.070804329533401,0.45736987634621734,0,1.1588206786973407,0.9720869594230116,0.23879481319467716
71,1071,0.9999,0.980040865830244,0.9999,0.817070911210207,True,0.3377671731225285,0.13893616784302723,3.827799088860869,0.46529182816128123,0,1.2070329342958355,0.9783961168967239,0.2556027874461637
72,1072,0.9999,0.9875386102238498,0.9999,0.8153800680419608,True,0.34774243886912043,0.1413012987554991,3.9453181905207195,0.4623465738795956,0,1.2139404455403053,0.9978774428988177,0.25292698705427197
73,1073,0.9999,0.9684862159986072,0.9999,0.8149736801104711,True,0.43346030717942413,0.14369381026704098,4.068650662260455,0.4797175464458169,0,1.2104077932892794,1.0192321548510923,0.2505086426576689
74,1074,0.9999,0.9426189547151262,0.9999,0.818474132744538,True,0.41171581762799064,0.1418225449335053,4.095710846105665,0.45814625673706816,0,1.2090891514677589,1.0091413620819336,0.24638979654568582
75,1075,0.9999,0.9327197358994704,0.9999,0.7795723375922559,True,0.5026631099717371,0.1418568500687237,3.634775460920799,0.46585528636812235,0,1.061081475735128,0.8875704051079556,0.24418851030844888
76,1076,0.9999,0.9999,0.9999,0.8507252461702935,True,0.4154192329595605,0.13830605074552013,3.993066134531634,0.4579146840099608,0,1.2038611813855704,1.017538969390436,0.25482647547228465
77,1077,0.9999,0.9822978507964831,0.9999,0.8083079934787658,True,0.47994274202163834,0.1423699962551215,3.6129736761275657,0.4669163746588487,0,1.0667042847961086,0.8873032685145467,0.24558808008409583
78,1078,0.9999,0.9999,0.9999,0.8387033295343691,True,0.39815493471234803,0.1534253919798826,4.317133872507369,0.5057556685460953,0,1.2483469375654517,1.0555656130092195,0.24450611080914952
79,1079,0.9999,0.9999,0.9999,0.8028253949873945,True,0.39810302818032295,0.1441857356275064,3.6892688081925766,0.4315667560850609,0,1.1124046732181345,0.9291072874479152,0.25184049624811633
80,1080,0.9999,0.9999,0.9999,0.8442710339019492,True,0.49063488979318476,0.14096214854658673,4.0385190738348,0.46406326307511364,0,1.1888159027261045,0.9950141684436511,0.24638095060396226
81,1081,0.9999,0.968544373249291,0.9999,0.8082366231852438,True,0.40981109453188647,0.13951261740226314,4.043914357960017,0.4766942676178321,0,1.1725756117007238,1.0002364120749587,0.24734361896317097
82,1082,0.9999,0.9999,0.9999,0.7969507110517449,True,0.5190601146811938,0.1672741487222942,4.149389486597631,0.4876193015387436,0,1.2360443916055497,1.0608394051095358,0.2556615638363201
83,1083,0.9999,0.9999,0.9999,0.862595289770696,True,0.5388431994175203,0.13790331389135305,3.539667239487455,0.420920491151936,0,1.1227189088748488,0.9038407607530676,0.2553462513849025
84,1084,0.9999,0.9999,0.9999,0.842543406806617,True,0.5203685875538894,0.15695283477976815,4.163655065649333,0.48667826087185595,0,1.2279189800439025,1.0468427251744163,0.25142397933272564
85,1085,0.9999,0.9999,0.9999,0.8230397950195538,True,0.43016414634405403,0.13437902903806606,3.768435743705756,0.4209862088799005,0,1.1299613686357073,0.9444502831233689,0.25062130479492467
86,1086,0.9999,0.9855877073578164,0.9999,0.8077995528367613,True,0.4024320587528485,0.15224689356878635,3.9654387688534376,0.4796984937470939,0,1.1981838052554963,0.9903949777002252,0.24975671935203955
87,1087,0.9999,0.973822576527451,0.9999,0.8135389537836656,True,0.32916638849449914,0.1429755362878344,3.7115006133954624,0.43610689121455826,0,1.0778765105588088,0.9315249286104209,0.25098336916566377
88,1088,0.9999,0.9840205527333421,0.9999,0.8116429375221,True,0.4504873105371052,0.14674590214380293,4.028625259091402,0.4571864134703097,0,1.1739484813586458,0.9779405356811859,0.24274795315703954
