Subject,Model,Network,Jaccard Overlap
26,Raw FC (2m),Dorsal Attn,0.875
26,Raw FC (2m),Ventral Attn,1.0
26,Raw FC (2m),Limbic,0.9285714285714286
26,Raw FC (2m),Control,0.9333333333333333
26,Raw FC (2m),Default Mode,1.0
26,BS-NET (2m),Visual,0.8571428571428571
26,BS-NET (2m),Somatomotor,0.8666666666666667
26,BS-NET (2m),Dorsal Attn,0.875
26,BS-NET (2m),Ventral Attn,1.0
26,BS-NET (2m),Limbic,0.9285714285714286
26,BS-NET (2m),Control,0.9333333333333333
26,BS-NET (2m),Default Mode,1.0
27,Raw FC (2m),Visual,1.0
27,Raw FC (2m),Somatomotor,0.5185185185185185
27,Raw FC (2m),Dorsal Attn,1.0
27,Raw FC (2m),Ventral Attn,0.4642857142857143
27,Raw FC (2m),Limbic,0.875
27,Raw FC (2m),Control,0.9285714285714286
27,Raw FC (2m),Default Mode,1.0
27,BS-NET (2m),Visual,1.0
27,BS-NET (2m),Somatomotor,0.5185185185185185
27,BS-NET (2m),Dorsal Attn,1.0
27,BS-NET (2m),Ventral Attn,0.4642857142857143
27,BS-NET (2m),Limbic,0.875
27,BS-NET (2m),Control,0.9285714285714286
27,BS-NET (2m),Default Mode,1.0
28,Raw FC (2m),Visual,0.7058823529411765
28,Raw FC (2m),Somatomotor,0.8125
28,Raw FC (2m),Dorsal Attn,0.9333333333333333
28,Raw FC (2m),Ventral Attn,0.9333333333333333
28,Raw FC (2m),Limbic,0.6086956521739131
28,Raw FC (2m),Control,0.23333333333333334
28,Raw FC (2m),Default Mode,0.9411764705882353
28,BS-NET (2m),Visual,0.75
28,BS-NET (2m),Somatomotor,0.8125
28,BS-NET (2m),Dorsal Attn,0.9333333333333333
28,BS-NET (2m),Ventral Attn,0.9333333333333333
28,BS-NET (2m),Limbic,0.5833333333333334
28,BS-NET (2m),Control,0.26666666666666666
28,BS-NET (2m),Default Mode,0.9411764705882353
29,Raw FC (2m),Visual,0.9333333333333333
29,Raw FC (2m),Somatomotor,0.5714285714285714
29,Raw FC (2m),Dorsal Attn,0.8666666666666667
29,Raw FC (2m),Ventral Attn,0.8
29,Raw FC (2m),Limbic,0.6666666666666666
29,Raw FC (2m),Control,0.75
29,Raw FC (2m),Default Mode,0.875
29,BS-NET (2m),Visual,0.9333333333333333
29,BS-NET (2m),Somatomotor,0.5714285714285714
29,BS-NET (2m),Dorsal Attn,0.8666666666666667
29,BS-NET (2m),Ventral Attn,0.8
29,BS-NET (2m),Limbic,0.7368421052631579
29,BS-NET (2m),Control,0.75
29,BS-NET (2m),Default Mode,0.8823529411764706
30,Raw FC (2m),Visual,1.0
30,Raw FC (2m),Somatomotor,0.3448275862068966
30,Raw FC (2m),Dorsal Attn,0.9285714285714286
30,Raw FC (2m),Ventral Attn,0.875
30,Raw FC (2m),Limbic,0.875
30,Raw FC (2m),Control,0.875
30,Raw FC (2m),Default Mode,0.5769230769230769
30,BS-NET (2m),Visual,1.0
30,BS-NET (2m),Somatomotor,0.3448275862068966
30,BS-NET (2m),Dorsal Attn,0.9285714285714286
30,BS-NET (2m),Ventral Attn,0.875
30,BS-NET (2m),Limbic,0.875
30,BS-NET (2m),Control,0.875
30,BS-NET (2m),Default Mode,0.5769230769230769
31,Raw FC (2m),Visual,0.5185185185185185
31,Raw FC (2m),Somatomotor,0.9285714285714286
31,Raw FC (2m),Dorsal Attn,0.4642857142857143
31,Raw FC (2m),Ventral Attn,0.5
31,Raw FC (2m),Limbic,0.9333333333333333
31,Raw FC (2m),Control,0.5
31,Raw FC (2m),Default Mode,0.9411764705882353
31,BS-NET (2m),Visual,0.5185185185185185
31,BS-NET (2m),Somatomotor,0.9285714285714286
31,BS-NET (2m),Dorsal Attn,0.4642857142857143
31,BS-NET (2m),Ventral Attn,0.5
31,BS-NET (2m),Limbic,0.9333333333333333
31,BS-NET (2m),Control,0.5
31,BS-NET (2m),Default Mode,0.9411764705882353
32,Raw FC (2m),Visual,0.7333333333333333
32,Raw FC (2m),Somatomotor,0.9285714285714286
32,Raw FC (2m),Dorsal Attn,0.8
32,Raw FC (2m),Ventral Attn,0.4827586206896552
32,Raw FC (2m),Limbic,0.8666666666666667
32,Raw FC (2m),Control,0.4827586206896552
32,Raw FC (2m),Default Mode,0.8421052631578947
32,BS-NET (2m),Visual,0.7857142857142857
32,BS-NET (2m),Somatomotor,0.8571428571428571
32,BS-NET (2m),Dorsal Attn,0.8
32,BS-NET (2m),Ventral Attn,0.45161290322580644
32,BS-NET (2m),Limbic,0.8666666666666667
32,BS-NET (2m),Control,0.45161290322580644
32,BS-NET (2m),Default Mode,0.8421052631578947
33,Raw FC (2m),Visual,0.8235294117647058
33,Raw FC (2m),Somatomotor,0.42857142857142855
33,Raw FC (2m),Dorsal Attn,0.9333333333333333
33,Raw FC (2m),Ventral Attn,0.7058823529411765
33,Raw FC (2m),Limbic,0.8125
33,Raw FC (2m),Control,0.42857142857142855
33,Raw FC (2m),Default Mode,0.75
33,BS-NET (2m),Visual,0.8235294117647058
33,BS-NET (2m),Somatomotor,0.4444444444444444
33,BS-NET (2m),Dorsal Attn,0.9333333333333333
33,BS-NET (2m),Ventral Attn,0.7058823529411765
33,BS-NET (2m),Limbic,0.875
33,BS-NET (2m),Control,0.4444444444444444
33,BS-NET (2m),Default Mode,0.75
34,Raw FC (2m),Visual,0.7142857142857143
34,Raw FC (2m),Somatomotor,0.7368421052631579
34,Raw FC (2m),Dorsal Attn,0.7647058823529411
34,Raw FC (2m),Ventral Attn,0.5909090909090909
34,Raw FC (2m),Limbic,0.8666666666666667
34,Raw FC (2m),Control,0.25
34,Raw FC (2m),Default Mode,0.8
34,BS-NET (2m),Visual,0.7142857142857143
34,BS-NET (2m),Somatomotor,0.7368421052631579
34,BS-NET (2m),Dorsal Attn,0.7647058823529411
34,BS-NET (2m),Ventral Attn,0.5909090909090909
34,BS-NET (2m),Limbic,0.8666666666666667
34,BS-NET (2m),Control,0.25
34,BS-NET (2m),Default Mode,0.8
35,Raw FC (2m),Visual,0.9333333333333333
35,Raw FC (2m),Somatomotor,0.8666666666666667
35,Raw FC (2m),Dorsal Attn,0.8666666666666667
35,Raw FC (2m),Ventral Attn,0.9285714285714286
35,Raw FC (2m),Limbic,0.8
35,Raw FC (2m),Control,0.8666666666666667
35,Raw FC (2m),Default Mode,0.9411764705882353
35,BS-NET (2m),Visual,0.9333333333333333
35,BS-NET (2m),Somatomotor,0.8666666666666667
35,BS-NET (2m),Dorsal Attn,0.8666666666666667
35,BS-NET (2m),Ventral Attn,0.9285714285714286
35,BS-NET (2m),Limbic,0.8
35,BS-NET (2m),Control,0.8666666666666667
35,BS-NET (2m),Default Mode,0.9411764705882353
36,Raw FC (2m),Visual,1.0
36,Raw FC (2m),Somatomotor,0.4375
36,Raw FC (2m),Dorsal Attn,0.4375
36,Raw FC (2m),Ventral Attn,0.9333333333333333
36,Raw FC (2m),Limbic,0.7142857142857143
36,Raw FC (2m),Control,1.0
36,Raw FC (2m),Default Mode,0.9375
36,BS-NET (2m),Visual,0.9285714285714286
36,BS-NET (2m),Somatomotor,0.4666666666666667
36,BS-NET (2m),Dorsal Attn,0.4666666666666667
36,BS-NET (2m),Ventral Attn,1.0
36,BS-NET (2m),Limbic,0.8666666666666667
36,BS-NET (2m),Control,1.0
36,BS-NET (2m),Default Mode,0.9375
37,Raw FC (2m),Visual,0.7777777777777778
37,Raw FC (2m),Somatomotor,0.7368421052631579
37,Raw FC (2m),Dorsal Attn,0.9333333333333333
37,Raw FC (2m),Ventral Attn,0.875
37,Raw FC (2m),Limbic,0.13793103448275862
37,Raw FC (2m),Control,0.75
37,Raw FC (2m),Default Mode,0.7894736842105263
37,BS-NET (2m),Visual,0.4375
37,BS-NET (2m),Somatomotor,0.6666666666666666
37,BS-NET (2m),Dorsal Attn,0.875
37,BS-NET (2m),Ventral Attn,0.875
37,BS-NET (2m),Limbic,0.16666666666666666
37,BS-NET (2m),Control,0.8125
37,BS-NET (2m),Default Mode,0.4117647058823529
38,Raw FC (2m),Visual,0.3333333333333333
38,Raw FC (2m),Somatomotor,0.875
38,Raw FC (2m),Dorsal Attn,1.0
38,Raw FC (2m),Ventral Attn,0.3333333333333333
38,Raw FC (2m),Limbic,0.6666666666666666
38,Raw FC (2m),Control,0.8235294117647058
38,Raw FC (2m),Default Mode,0.625
38,BS-NET (2m),Visual,0.5454545454545454
38,BS-NET (2m),Somatomotor,0.9333333333333333
38,BS-NET (2m),Dorsal Attn,1.0
38,BS-NET (2m),Ventral Attn,0.3076923076923077
38,BS-NET (2m),Limbic,0.6666666666666666
38,BS-NET (2m),Control,0.8235294117647058
38,BS-NET (2m),Default Mode,0.7894736842105263
39,Raw FC (2m),Visual,0.7857142857142857
39,Raw FC (2m),Somatomotor,0.875
39,Raw FC (2m),Dorsal Attn,0.9333333333333333
39,Raw FC (2m),Ventral Attn,0.6666666666666666
39,Raw FC (2m),Limbic,1.0
39,Raw FC (2m),Control,0.8235294117647058
39,Raw FC (2m),Default Mode,1.0
39,BS-NET (2m),Visual,0.7857142857142857
39,BS-NET (2m),Somatomotor,0.875
39,BS-NET (2m),Dorsal Attn,0.9333333333333333
39,BS-NET (2m),Ventral Attn,0.6666666666666666
39,BS-NET (2m),Limbic,1.0
39,BS-NET (2m),Control,0.8235294117647058
39,BS-NET (2m),Default Mode,1.0
40,Raw FC (2m),Visual,1.0
40,Raw FC (2m),Somatomotor,0.8571428571428571
40,Raw FC (2m),Dorsal Attn,0.9333333333333333
40,Raw FC (2m),Ventral Attn,0.9333333333333333
40,Raw FC (2m),Limbic,0.9333333333333333
40,Raw FC (2m),Control,1.0
40,Raw FC (2m),Default Mode,0.9375
40,BS-NET (2m),Visual,1.0
40,BS-NET (2m),Somatomotor,0.8571428571428571
40,BS-NET (2m),Dorsal Attn,0.9333333333333333
40,BS-NET (2m),Ventral Attn,0.9333333333333333
40,BS-NET (2m),Limbic,0.9333333333333333
40,BS-NET (2m),Control,1.0
40,BS-NET (2m),Default Mode,0.9375
41,Raw FC (2m),Visual,0.9333333333333333
41,Raw FC (2m),Somatomotor,0.6086956521739131
41,Raw FC (2m),Dorsal Attn,0.7777777777777778
