Seed,Subject,Model,Network,Jaccard
9999,2,Raw FC (2m),Limbic,0.8666666666666667
9999,2,Raw FC (2m),Control,1.0
9999,2,Raw FC (2m),Default Mode,0.9375
9999,2,BS-NET (2m),Visual,1.0
9999,2,BS-NET (2m),Somatomotor,0.9333333333333333
9999,2,BS-NET (2m),Dorsal Attn,1.0
9999,2,BS-NET (2m),Ventral Attn,1.0
9999,2,BS-NET (2m),Limbic,0.8666666666666667
9999,2,BS-NET (2m),Control,1.0
9999,2,BS-NET (2m),Default Mode,0.9375
9999,3,Raw FC (2m),Visual,0.7857142857142857
9999,3,Raw FC (2m),Somatomotor,1.0
9999,3,Raw FC (2m),Dorsal Attn,0.875
9999,3,Raw FC (2m),Ventral Attn,0.9333333333333333
9999,3,Raw FC (2m),Limbic,0.9285714285714286
9999,3,Raw FC (2m),Control,0.9333333333333333
9999,3,Raw FC (2m),Default Mode,1.0
9999,3,BS-NET (2m),Visual,0.7857142857142857
9999,3,BS-NET (2m),Somatomotor,1.0
9999,3,BS-NET (2m),Dorsal Attn,0.875
9999,3,BS-NET (2m),Ventral Attn,0.8235294117647058
9999,3,BS-NET (2m),Limbic,0.9285714285714286
9999,3,BS-NET (2m),Control,0.8
9999,3,BS-NET (2m),Default Mode,1.0
9999,4,Raw FC (2m),Visual,0.3125
9999,4,Raw FC (2m),Somatomotor,0.8235294117647058
9999,4,Raw FC (2m),Dorsal Attn,0.9285714285714286
9999,4,Raw FC (2m),Ventral Attn,0.8
9999,4,Raw FC (2m),Limbic,1.0
9999,4,Raw FC (2m),Control,0.8666666666666667
9999,4,Raw FC (2m),Default Mode,0.5714285714285714
9999,4,BS-NET (2m),Visual,0.6
9999,4,BS-NET (2m),Somatomotor,0.9333333333333333
9999,4,BS-NET (2m),Dorsal Attn,0.9285714285714286
9999,4,BS-NET (2m),Ventral Attn,0.8571428571428571
9999,4,BS-NET (2m),Limbic,1.0
9999,4,BS-NET (2m),Control,0.8571428571428571
9999,4,BS-NET (2m),Default Mode,0.6956521739130435
314,0,Raw FC (2m),Visual,1.0
314,0,Raw FC (2m),Somatomotor,1.0
314,0,Raw FC (2m),Dorsal Attn,1.0
314,0,Raw FC (2m),Ventral Attn,0.9285714285714286
314,0,Raw FC (2m),Limbic,1.0
314,0,Raw FC (2m),Control,1.0
314,0,Raw FC (2m),Default Mode,0.9411764705882353
314,0,BS-NET (2m),Visual,1.0
314,0,BS-NET (2m),Somatomotor,1.0
314,0,BS-NET (2m),Dorsal Attn,1.0
314,0,BS-NET (2m),Ventral Attn,0.9285714285714286
314,0,BS-NET (2m),Limbic,1.0
314,0,BS-NET (2m),Control,1.0
314,0,BS-NET (2m),Default Mode,0.9411764705882353
314,1,Raw FC (2m),Visual,0.8666666666666667
314,1,Raw FC (2m),Somatomotor,0.9333333333333333
314,1,Raw FC (2m),Dorsal Attn,0.9333333333333333
314,1,Raw FC (2m),Ventral Attn,1.0
314,1,Raw FC (2m),Limbic,0.8
314,1,Raw FC (2m),Control,1.0
314,1,Raw FC (2m),Default Mode,0.9375
314,1,BS-NET (2m),Visual,0.8666666666666667
314,1,BS-NET (2m),Somatomotor,0.9333333333333333
314,1,BS-NET (2m),Dorsal Attn,0.9333333333333333
314,1,BS-NET (2m),Ventral Attn,1.0
314,1,BS-NET (2m),Limbic,0.8
314,1,BS-NET (2m),Control,1.0
314,1,BS-NET (2m),Default Mode,0.9375
314,2,Raw FC (2m),Visual,0.9333333333333333
314,2,Raw FC (2m),Somatomotor,0.42424242424242425
314,2,Raw FC (2m),Dorsal Attn,1.0
314,2,Raw FC (2m),Ventral Attn,0.5833333333333334
314,2,Raw FC (2m),Limbic,0.35714285714285715
314,2,Raw FC (2m),Control,1.0
314,2,Raw FC (2m),Default Mode,0.48484848484848486
314,2,BS-NET (2m),Visual,0.9333333333333333
314,2,BS-NET (2m),Somatomotor,0.42424242424242425
314,2,BS-NET (2m),Dorsal Attn,1.0
314,2,BS-NET (2m),Ventral Attn,0.5833333333333334
314,2,BS-NET (2m),Limbic,0.35714285714285715
314,2,BS-NET (2m),Control,1.0
314,2,BS-NET (2m),Default Mode,0.48484848484848486
314,3,Raw FC (2m),Visual,0.7777777777777778
314,3,Raw FC (2m),Somatomotor,0.24390243902439024
314,3,Raw FC (2m),Dorsal Attn,0.34210526315789475
314,3,Raw FC (2m),Ventral Attn,0.3783783783783784
314,3,Raw FC (2m),Limbic,1.0
314,3,Raw FC (2m),Control,1.0
314,3,Raw FC (2m),Default Mode,0.9411764705882353
314,3,BS-NET (2m),Visual,0.9333333333333333
314,3,BS-NET (2m),Somatomotor,0.8666666666666667
314,3,BS-NET (2m),Dorsal Attn,0.9333333333333333
314,3,BS-NET (2m),Ventral Attn,0.8571428571428571
314,3,BS-NET (2m),Limbic,1.0
314,3,BS-NET (2m),Control,1.0
314,3,BS-NET (2m),Default Mode,1.0
314,4,Raw FC (2m),Visual,0.7857142857142857
314,4,Raw FC (2m),Somatomotor,0.9333333333333333
314,4,Raw FC (2m),Dorsal Attn,0.8666666666666667
314,4,Raw FC (2m),Ventral Attn,1.0
314,4,Raw FC (2m),Limbic,0.9333333333333333
314,4,Raw FC (2m),Control,0.8666666666666667
314,4,Raw FC (2m),Default Mode,0.9411764705882353
314,4,BS-NET (2m),Visual,0.7857142857142857
314,4,BS-NET (2m),Somatomotor,0.9333333333333333
314,4,BS-NET (2m),Dorsal Attn,0.8666666666666667
314,4,BS-NET (2m),Ventral Attn,1.0
314,4,BS-NET (2m),Limbic,0.9333333333333333
314,4,BS-NET (2m),Control,0.8666666666666667
314,4,BS-NET (2m),Default Mode,0.9411764705882353
628,0,Raw FC (2m),Visual,0.8125
628,0,Raw FC (2m),Somatomotor,1.0
628,0,Raw FC (2m),Dorsal Attn,0.6086956521739131
628,0,Raw FC (2m),Ventral Attn,0.32142857142857145
628,0,Raw FC (2m),Limbic,0.9333333333333333
628,0,Raw FC (2m),Control,1.0
628,0,Raw FC (2m),Default Mode,0.75
628,0,BS-NET (2m),Visual,0.8125
628,0,BS-NET (2m),Somatomotor,1.0
628,0,BS-NET (2m),Dorsal Attn,0.6086956521739131
628,0,BS-NET (2m),Ventral Attn,0.32142857142857145
628,0,BS-NET (2m),Limbic,0.9333333333333333
628,0,BS-NET (2m),Control,1.0
628,0,BS-NET (2m),Default Mode,0.75
628,1,Raw FC (2m),Visual,0.5
628,1,Raw FC (2m),Somatomotor,0.8125
628,1,Raw FC (2m),Dorsal Attn,1.0
628,1,Raw FC (2m),Ventral Attn,0.9285714285714286
628,1,Raw FC (2m),Limbic,0.4482758620689655
628,1,Raw FC (2m),Control,0.8571428571428571
628,1,Raw FC (2m),Default Mode,0.9411764705882353
628,1,BS-NET (2m),Visual,0.875
628,1,BS-NET (2m),Somatomotor,0.8125
628,1,BS-NET (2m),Dorsal Attn,1.0
628,1,BS-NET (2m),Ventral Attn,0.9285714285714286
628,1,BS-NET (2m),Limbic,0.9285714285714286
